provider,rate_type,tier_rule,scope,scope_mode,endpoint,limit_mode,target,usage_profile,credit_type,credit_value,credit_period_days,credit_renew,effective_start,effective_end,last_verified,con_max,rps_max,tps_max,rpm_max,tpm_max,rph_max,tph_max,rpd_max,tpd_max,asm_max,ash_max,asd_max,ppm_max,npd_max,source_url,retry_after_hint,notes
google-ai-studio,free,,family,,,,Antigravity,agents,,,,,,,,,,,60,100000,,,100,,,,,,,,,Agents
google-ai-studio,free,,family,,,,Computer Use Preview,custom,,,,,,,,,,,0,0,,,0,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Deep Research Pro Preview,agents,,,,,,,,,,,0,0,,,0,,,,,,,,,Agents
google-ai-studio,free,,family,,,,Gemini 2 Flash,text_out,,,,,,,,,,,0,0,,,0,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 2 Flash Lite,text_out,,,,,,,,,,,0,0,,,0,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 2.5 Flash,text_out,,,,,,,,,,,5,250000,,,20,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 2.5 Flash Lite,text_out,,,,,,,,,,,10,250000,,,20,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 2.5 Flash Native Audio Dialog,audio,,,,,,,,,,,-1,1000000,,,-1,,,,,,,,,Live API
google-ai-studio,free,,family,,,,Gemini 2.5 Flash TTS,vision,,,,,,,,,,,3,10000,,,10,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Gemini 2.5 Pro,text_out,,,,,,,,,,,0,0,,,0,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 2.5 Pro TTS,vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Gemini 3 Flash,text_out,,,,,,,,,,,5,250000,,,20,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 3 Flash Live,default,,,,,,,,,,,-1,65000,,,-1,,,,,,,,,Live API
google-ai-studio,free,,family,,,,Gemini 3.1 Flash Lite,text_out,,,,,,,,,,,15,250000,,,500,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 3.1 Flash TTS,vision,,,,,,,,,,,3,10000,,,10,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Gemini 3.1 Pro,text_out,,,,,,,,,,,0,0,,,0,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 3.5 Flash,text_out,,,,,,,,,,,5,250000,,,20,,,,,,,,,Text-out models
google-ai-studio,free,,family,,,,Gemini 3.5 Live Translate,default,,,,,,,,,,,-1,20000,,,-1,,,,,,,,,Live API
google-ai-studio,free,,family,,,,Gemini Embedding 1,custom,,,,,,,,,,,100,30000,,,1000,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Gemini Embedding 2,custom,,,,,,,,,,,100,30000,,,1000,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Gemini Robotics ER 1.5 Preview,custom,,,,,,,,,,,10,250000,,,20,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Gemini Robotics ER 1.6 Preview,custom,,,,,,,,,,,5,250000,,,20,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Gemma 4 26B,custom,,,,,,,,,,,15,-1,,,1500,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Gemma 4 31B,custom,,,,,,,,,,,15,-1,,,1500,,,,,,,,,Other models
google-ai-studio,free,,family,,,,Imagen 4 Fast Generate,vision,,,,,,,,,,,,,,,25,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Imagen 4 Generate,vision,,,,,,,,,,,,,,,25,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Imagen 4 Ultra Generate,vision,,,,,,,,,,,,,,,25,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Lyria 3 Clip,vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Lyria 3 Pro,vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Nano Banana (Gemini 2.5 Flash Preview Image),vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Nano Banana 2 (Gemini 3.1 Flash Image),vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Nano Banana Pro (Gemini 3 Pro Image),vision,,,,,,,,,,,0,0,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Veo 3 Fast Generate,vision,,,,,,,,,,,0,,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Veo 3 Generate,vision,,,,,,,,,,,0,,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Veo 3 Lite Generate,vision,,,,,,,,,,,0,,,,0,,,,,,,,,Multi-modal generative models
google-ai-studio,free,,family,,,,Computer Use Preview,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Deep Research Pro Preview,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Default,default,,,,,,,,,,,,,,,1500,,,,,,,,,Search grounding
google-ai-studio,free,,family,,,,Gemini 2,default,,,,,,,,,,,,,,,1500,,,,,,,,,Search grounding
google-ai-studio,free,,family,,,,Gemini 2 Flash,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 2.5,default,,,,,,,,,,,,,,,1500,,,,,,,,,Search grounding
google-ai-studio,free,,family,,,,Gemini 2.5 Flash,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 2.5 Flash Lite,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 2.5 Pro,map_grounding,,,,,,,,,,,,,,,0,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 3,default,,,,,,,,,,,,,,,0,,,,,,,,,Search grounding
google-ai-studio,free,,family,,,,Gemini 3 Flash,map_grounding,,,,,,,,,,,,,,,0,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 3.1 Flash Lite,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 3.1 Flash TTS,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 3.1 Pro,map_grounding,,,,,,,,,,,,,,,0,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini 3.5 Flash,map_grounding,,,,,,,,,,,,,,,0,,,,,,,,,Map grounding
google-ai-studio,free,,family,,,,Gemini Robotics ER 1.6 Preview,map_grounding,,,,,,,,,,,,,,,500,,,,,,,,,Map grounding
groq,free,,model,,,,allam-2-7b,default,,,,,,,,,,,30,6000,,,7000,500000,,,,,,,,Chat Completions
groq,free,,model,,,,groq/compound,default,,,,,,,,,,,30,70000,,,250,-1,,,,,,,,Chat Completions
groq,free,,model,,,,groq/compound-mini,default,,,,,,,,,,,30,70000,,,250,-1,,,,,,,,Chat Completions
groq,free,,model,,,,llama-3.1-8b-instant,chat,,,,,,,,,,,30,6000,,,14400,500000,,,,,,,,Chat Completions
groq,free,,model,,,,llama-3.3-70b-versatile,chat,,,,,,,,,,,30,12000,,,1000,100000,,,,,,,,Chat Completions
groq,free,,model,,,,meta-llama/llama-4-scout-17b-16e-instruct,chat,,,,,,,,,,,30,30000,,,1000,500000,,,,,,,,Chat Completions
groq,free,,model,,,,meta-llama/llama-prompt-guard-2-22m,chat,,,,,,,,,,,30,15000,,,14400,500000,,,,,,,,Chat Completions
